Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,12469.669922,12986.490234,11878.980469,12866.790039,12866.790039,1931362200
2019-11-01,12912.089844,13374.269531,12896.719727,13236.379883,13236.379883,1598514500
2019-12-01,13264.929688,13425.849609,12886.549805,13249.009766,13249.009766,1372865900
2020-01-01,13233.709961,13640.059570,12948.169922,12981.969727,12981.969727,1737147300
2020-02-01,13033.169922,13795.240234,11724.120117,11890.349609,11890.349609,2231747600
2020-03-01,12030.269531,12272.990234,8255.650391,9935.839844,9935.839844,4826748300
2020-04-01,9610.669922,11235.570313,9337.019531,10861.639648,10861.639648,2507299800
2020-05-01,10543.360352,11813.139648,10160.889648,11586.849609,11586.849609,2221913600
2020-06-01,11586.849609,12913.129883,11586.849609,12310.929688,12310.929688,2754888800
2020-07-01,12391.719727,13313.900391,12095.110352,12313.360352,12313.360352,1712733000
2020-08-01,12374.459961,13221.820313,12365.610352,12945.379883,12945.379883,1260622200
2020-09-01,13037.200195,13460.459961,12753.690430,13217.669922,13217.669922,744147500
2020-09-16,13224.160156,13277.230469,13200.150391,13214.440430,13214.440430,0
