Date,Price
2007-05-01,7883.040039
2007-06-01,8007.319823999999
2007-07-01,7584.140137
2007-08-01,7638.169922
2007-09-01,7861.509765999999
2007-10-01,8019.220215
2007-11-01,7870.52002
2007-12-01,8067.319823999999
2008-01-01,6851.75
2008-02-01,6748.129883
2008-03-01,6534.970215
2008-04-01,6948.819823999999
2008-05-01,7096.790039
2008-06-01,6418.319824
2008-07-01,6479.560059
2008-08-01,6422.299805
2008-09-01,5831.02002
2008-10-01,4987.970215
2008-11-01,4669.439941
2008-12-01,4810.200195
2009-01-01,4338.350098
2009-02-01,3843.73999
2009-03-01,4084.76001
2009-04-01,4769.450195
2009-05-01,4940.819824
2009-06-01,4808.640136999999
2009-07-01,5332.140136999999
2009-08-01,5464.609863000001
2009-09-01,5675.160156
2009-10-01,5414.959961
2009-11-01,5625.950195
2009-12-01,5957.430176
2010-01-01,5608.790039
2010-02-01,5598.459961
2010-03-01,6153.549805
2010-04-01,6135.700195
2010-05-01,5964.330078
2010-06-01,5965.52002
2010-07-01,6147.970215
2010-08-01,5925.220215
2010-09-01,6229.02002
2010-10-01,6601.370117
2010-11-01,6688.490234000001
2010-12-01,6914.189941
2011-01-01,7077.47998
2011-02-01,7272.319823999999
2011-03-01,7041.310059
2011-04-01,7514.459961
2011-05-01,7293.689941
2011-06-01,7376.240234000001
2011-07-01,7158.77002
2011-08-01,5784.850098
2011-09-01,5502.02002
2011-10-01,6141.339844
2011-11-01,6088.839844
2011-12-01,5898.350098
2012-01-01,6458.910156
2012-02-01,6856.080078
2012-03-01,6946.830078
2012-04-01,6761.189941
2012-05-01,6264.379883
2012-06-01,6416.279785
2012-07-01,6772.259765999999
2012-08-01,6970.790039
2012-09-01,7216.149901999999
2012-10-01,7260.629883
2012-11-01,7405.5
2012-12-01,7612.390137
2013-01-01,7776.049805
2013-02-01,7741.700195
2013-03-01,7795.310059
2013-04-01,7913.709961
2013-05-01,8348.839844
2013-06-01,7959.220215
2013-07-01,8275.969727
2013-08-01,8103.149901999999
2013-09-01,8594.400391
2013-10-01,9033.919922
2013-11-01,9405.299805
2013-12-01,9552.160156
2014-01-01,9306.480469
2014-02-01,9692.080078
2014-03-01,9555.910156
2014-04-01,9603.230469
2014-05-01,9943.269531
2014-06-01,9833.070313
2014-07-01,9407.480469
2014-08-01,9470.169922
2014-09-01,9474.299805
2014-10-01,9326.870117
2014-11-01,9980.849609
2014-12-01,9805.549805
2015-01-01,10694.320313
2015-02-01,11401.660156
2015-03-01,11966.169922
2015-04-01,11454.379883
2015-05-01,11413.820313
2015-06-01,10944.969727
2015-07-01,11308.990234
2015-08-01,10315.620117
2015-09-01,9660.44043
2015-10-01,10850.139648
2015-11-01,11382.230469
2015-12-01,10743.009766
2016-01-01,9798.110352
2016-02-01,9495.400391
2016-03-01,9965.509766
2016-04-01,10038.969727
2016-05-01,10262.740234
2016-06-01,9680.089844
2016-07-01,10337.5
2016-08-01,10592.69043
2016-09-01,10511.019531
2016-10-01,10665.009766
2016-11-01,10640.299805
2016-12-01,11481.05957
2017-01-01,11535.30957
2017-02-01,11834.410156
2017-03-01,12312.870117
2017-04-01,12438.009766
2017-05-01,12615.05957
2017-06-01,12325.120117
2017-07-01,12118.25
2017-08-01,12055.839844
2017-09-01,12828.860352
2017-10-01,13229.570313
2017-11-01,13023.980469
2017-12-01,12917.639648
2018-01-01,13189.480469
2018-02-01,12435.849609
2018-03-01,12096.730469
2018-04-01,12612.110352
2018-05-01,12604.889648
2018-06-01,12306.0
2018-07-01,12805.5
2018-08-01,12364.05957
2018-09-01,12246.730469
2018-10-01,11447.509766
2018-11-01,11257.240234
2018-12-01,10558.959961
2019-01-01,11173.099609
2019-02-01,11515.639648
2019-03-01,11526.040039
2019-04-01,12344.080078
2019-05-01,11726.839844
2019-06-01,12398.799805
2019-07-01,12189.040039
2019-08-01,11939.280273
2019-09-01,12428.080078
2019-10-01,12866.790039
2019-11-01,13236.379883
2019-12-01,13249.009766
